customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1000-57B31F,Male,0,No,No,18,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,57.43,1019.88,No
1001-A5AB69,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,57.2,185.81,Yes
1002-6D4516,Male,0,Yes,Yes,13,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,52.23,696.89,Yes
1003-9F1922,Male,1,No,No,45,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,21.93,963.1,Yes
1004-1F3ED6,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,80.34,1195.75,Yes
1005-254F6A,Male,1,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,88.98,75.17,No
1006-AB774A,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,86.01,1737.57,No
1007-1776F0,Male,0,Yes,No,15,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,40.19,598.47,No
1008-BFFFD7,Female,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,46.42,217.21,Yes
1009-798968,Female,0,No,Yes,6,No,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),56.24,358.32,No
1010-0F07FE,Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,78.89,302.28,Yes
1011-1FBE17,Female,1,No,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),79.94,1697.0,Yes
1012-401E54,Female,0,No,No,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,81.16,0.0,No
1013-DEB6B0,Male,0,No,Yes,9,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.3,440.36,Yes
1014-7459C0,Male,0,Yes,No,61,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,37.59,2285.3,No
1015-3BA3A8,Female,1,No,No,2,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,36.98,89.95,No
1016-FB3849,Female,0,Yes,No,33,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),40.65,1356.27,No
1017-83E7F5,Female,1,Yes,No,1,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.48,83.41,Yes
1018-263247,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.83,1057.37,Yes
1019-1A886E,Female,0,Yes,No,25,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,53.1,1355.58,Yes
1020-AE2AF6,Female,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.38,808.09,No
